Type	AgentConfig	TestInstanzID	MaxRounds	VorschlaegeProRunde	ErzwungeneAkzeptanz	AnzahlPlanningObjects	ClientID	TargetValue
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,70655944375
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,41338
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,40818650625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,36146
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,75962289375
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,24047
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,74317885625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,3839
local	6421a3af-f6b1-4877-8770-0c046f4d6484	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	db2ebd12-bd93-4ba8-bc82-2a9fc84f3afe	30,69904980625
local	c4644725-e114-4657-8bc5-919d56919f29	7311644a-a47e-4b00-abf3-6047ca61576e	1000	100	1	6	d18650f9-5b1f-4d3d-b4ab-24b430b9c3a8	6,43115
